License,URL,Keyword,Publisher,Creator,Owner,Language,Level,Size,Name,PublicationTimestamp,Description,Version,Domain,FileFormat,,,
CC BY 4.0,"https://open-meteo.com/en/docs/historical-weather-api , https://www.ilmeteo.it/portale/archivio-meteo/Trento",Report,"API, Meteo.it","API, Meteo.it","API, Meteo.it","EN, IT",L2,"3,5 MB",WeatherReportMinimum,2010-2025,,2,Weather,CSV,,,API / CSV
CC BY 4.0,https://dati.trentino.it/dataset/observations-site-list,Station,Open Data Trentino,Open Data Trentino,Open Data Trentino,IT,L2,"13,6 KB",WeatherStation,2000-2025,,2,Weather,CSV,,,N/A
N/A (Derived),"https://open-meteo.com/en/docs/historical-weather-api , https://www.ilmeteo.it/portale/archivio-meteo/Trento",MicroClimate,"API, Meteo.it","API, Meteo.it","API, Meteo.it","EN, IT",L3,882 byte,Microclimate,-,,1,Weather,CSV,,,N/A
CC BY 4.0,"https://open-meteo.com/en/docs/historical-weather-api , https://www.ilmeteo.it/portale/archivio-meteo/Trento",Season,"API, Meteo.it","API, Meteo.it","API, Meteo.it","EN, IT",L1,"40,2 KB",Season,-,,1,Weather,CSV,,,Climate and Meteorology
CC BY 4.0,https://dati.trentino.it/dataset/observations-site-list,City,Open Data Trentino,Open Data Trentino,Open Data Trentino,IT,L1,295 byte,City,-,,2,Region,CSV,,,Climate and Meteorology
N/A (Derived),"https://open-meteo.com/en/docs/historical-weather-api , https://www.ilmeteo.it/portale/archivio-meteo/Trento",ClimateTrend,"API, Meteo.it","API, Meteo.it","API, Meteo.it","EN, IT",L3,709 byte,ClimateTrend,-,,2,Weather,CSV,,,Climate and Meteorology
N/A (Derived),"https://open-meteo.com/en/docs/historical-weather-api , https://www.ilmeteo.it/portale/archivio-meteo/Trento",Anomaly,"API, Meteo.it","API, Meteo.it","API, Meteo.it","EN, IT",L3,"1,1 MB",Anomaly,-,,2,Weather,CSV,,,Climate and Meteorology
,,,,,,,,,,,,,,,,,N/A
,,,,,,,,,,,,,,,,,N/A
,,,,,,,,,,,,,,,,,Climate and Meteorology
