City,ParameterMeasured (Celsius),TimeWindow,Variation (Celsius),Rate (Celsius/Year)
Trento,temperature_2m_mean ,1990-2025 (35.0 years),2.48,0.0708
Povo,temperature_2m_mean ,1990-2025 (35.0 years),2.53,0.0724
Rovereto,temperature_2m_mean,1990-2025 (35.0 years),1.72,0.0490
Tenno,temperature_2m_mean,1990-2025 (35.0 years),1.64,0.0470
Mezzana,temperature_2m_mean,1990-2025 (35.0 years),1.93,0.0550
Predazzo,temperature_2m_mean,1990-2025 (35.0 years),1.74,0.0497
Lavarone,temperature_2m_mean,1990-2025 (35.0 years),1.70,0.0487
Telve,temperature_2m_mean,1990-2025 (35.0 years),1.39,0.0398
Cavalese,temperature_2m_mean,1990-2025 (35.0 years),2.05,0.0587
Arco,temperature_2m_mean,1990-2025 (35.0 years),2.11,0.0603
